StateNames,2016 Population
Alaska,741522
Alabama,4860545
Arkansas,2988231
Arizona,6908642
California,39296476
Colorado,5530105
Connecticut,3587685
Delaware,952698
Florida,20656589
Georgia,10313620
Hawaii,1428683
Idaho,1680026
Illinois,12835726
Indiana,6634007
Iowa,3130869
Kansas,2907731
Kentucky,4436113
Louisiana,4686157
Maine,1330232
Maryland,6024752
Massachusetts,6823721
Michigan,9933445
Minnesota,5525050
Mississippi,2985415
Missouri,6091176
Montana,1038656
Nebraska,1907603
Nevada,2939254
New Hampshire,2939254
New Jersey,8978416
New Mexico,8978416
New York,19836286
North Carolina,10156689
North Dakota,755548
Ohio,11622554
Oklahoma,3921207
Oregon,4085989
Pennsylvania,12787085
Rhode Island,1057566
South Carolina,4959822
South Dakota,861542
Tennessee,6649404
Texas,27904862
D.C.,684336
Utah,3044321
Vermont,623354
Virginia,8414380
Washington,7280934
West Virginia,1828637
Wisconsin,5772917
Wyoming,584910